company,domain,location,industry,employees,signal_type,signal_title,signal_date,signal_url,signal_description,signal_id
Tidewater Clinics,tidewater-demo.com,"Sydney, Australia",Healthcare,300,job_posting,Financial Analyst,13 days ago,https://tidewater-demo.com/careers/financial-analyst,"Budgeting and variance analysis across 14 clinics.",tw-8
Vantage Robotics,vantage-robotics-demo.com,"Boston, MA",Robotics,230,job_posting,Embedded Software Engineer,2 days ago,https://vantage-robotics-demo.com/jobs/embedded-software-engineer,"Firmware for the next generation of warehouse robots.",vr-40
Vantage Robotics,vantage-robotics-demo.com,"Boston, MA",Robotics,230,job_posting,Software Engineer,7 days ago,https://vantage-robotics-demo.com/jobs/software-engineer,"Fleet management software.",vr-38
Vantage Robotics,vantage-robotics-demo.com,"Boston, MA",Robotics,230,job_posting,Senior Software Engineer,22 days ago,https://vantage-robotics-demo.com/jobs/senior-software-engineer,"Urgent hire to lead the navigation stack.",vr-31
Vantage Robotics,vantage-robotics-demo.com,"Boston, MA",Robotics,230,leadership_change,New VP of Engineering joined,5 days ago,https://vantage-robotics-demo.com/news/vp-engineering,"A new VP of Engineering joined to scale the team.",vr-l1
Meridian Foods,meridian-demo.com,"Chicago, IL",E-commerce,110,job_posting,Payroll Accountant,6 days ago,https://meridian-demo.com/jobs/payroll-accountant,"Payroll and benefits accounting.",mf-2
Oakridge Dental Group,oakridge-demo.com,"Leeds, United Kingdom",Healthcare,45,job_posting,Finance Manager,16 days ago,https://oakridge-demo.com/jobs/finance-manager,"Part-qualified finance manager for a group of practices.",od-1
Staffwise Recruiting,staffwise-demo.com,"London, United Kingdom",Staffing & Recruiting,80,job_posting,Financial Analyst,3 days ago,https://staffwise-demo.com/jobs/financial-analyst,"Client-side contract role.",sw-7
Megacorp Global Industries,megacorp-demo.com,"New York, NY",Manufacturing,25000,job_posting,Senior Accountant,2 days ago,https://megacorp-demo.com/careers/senior-accountant,"Shared services centre.",mg-900
Tiny Sprout Studio,tinysprout-demo.com,"Lisbon, Portugal",Software,6,job_posting,Software Engineer,4 days ago,https://tinysprout-demo.com/jobs/software-engineer,"Our second engineer.",ts-1
Cobalt Coffee Roasters,cobalt-coffee-demo.com,"Portland, OR",Food & Beverage,70,job_posting,Barista,1 day ago,https://cobalt-coffee-demo.com/jobs/barista,"Weekend shifts at the flagship cafe.",cc-11
Cobalt Coffee Roasters,cobalt-coffee-demo.com,"Portland, OR",Food & Beverage,70,job_posting,Store Manager,3 days ago,https://cobalt-coffee-demo.com/jobs/store-manager,"Run our second cafe.",cc-12
Old Mill Supply Co,oldmill-demo.com,"Dublin, Ireland",Manufacturing,150,job_posting,Senior Accountant,95 days ago,https://oldmill-demo.com/jobs/senior-accountant,"Posted in the spring.",om-3
Pinecrest Partners,pinecrest-demo.com,"Auckland, New Zealand",Financial Services,40,job_posting,Finance Intern,2 days ago,https://pinecrest-demo.com/jobs/finance-intern,"Summer internship.",pp-1
Summit Freight,summitfreight-demo.com,"Dallas, TX",Logistics,210,job_posting,Financial Controller,3 days ago,https://summitfreight-demo.com/jobs/financial-controller,"Group controller.",sf-5
